name,iata_code,iso_country,iso_region,municipality,type,scheduled_service,latitude_deg,longitude_deg
Balkanabat Airport,BKN,TM,TM-B,Balkanabat,small_airport,yes,39.480598,54.366001
Monument Valley Airport,GMV,US,US-UT,Oljato-Monument Valley,small_airport,no,37.015868,-110.202031
Ashgabat International Airport,ASB,TM,TM-S,Ashgabat,large_airport,yes,37.986801,58.361
Kerki Airport,KEA,TM,TM-L,Kerki,small_airport,no,37.822051,65.135279
Turkmenbashi International Airport,KRW,TM,TM-B,Turkmenbashi,medium_airport,yes,40.063301,53.007198
Mary International Airport,MYP,TM,TM-M,Mary,medium_airport,yes,37.62353,61.895668
Daşoguz Airport,TAZ,TM,TM-D,Daşoguz,medium_airport,yes,41.759853,59.836149
Türkmenabat International Airport,CRZ,TM,TM-L,Türkmenabat,large_airport,yes,38.930662,63.563982
Dushanbe International Airport,DYU,TJ,TJ-DU,Dushanbe,large_airport,yes,38.543746,68.822977
Kulob Airport,TJU,TJ,TJ-KT,Kulyab,medium_airport,yes,37.98809814453125,69.80500030517578
Khujand International Airport,LBD,TJ,TJ-SU,Khujand,large_airport,yes,40.215401,69.694702
Qurghonteppa International Airport,KQT,TJ,TJ-KT,Kurgan-Tyube,medium_airport,yes,37.86640167236328,68.86470031738281
Namangan International Airport,NMA,UZ,UZ-NG,Namangan,large_airport,yes,40.984622,71.5578
Andijan International Airport,AZN,UZ,UZ-AN,Andijan,large_airport,yes,40.727699,72.293999
Fergana International Airport,FEG,UZ,UZ-FA,Fergana,medium_airport,yes,40.358799,71.745003
Kokand Airport,OQN,UZ,UZ-FA,Kokand,small_airport,no,40.447183,70.989144
Muynak Airport,MOK,UZ,UZ-QR,Muynak,small_airport,no,43.753636,59.029884
Nukus International Airport,NCU,UZ,UZ-QR,Nukus,large_airport,yes,42.4884,59.623299
Urgench International Airport,UGC,UZ,UZ-XO,Urgench,large_airport,yes,41.58274,60.64338
Navoi International Airport,NVI,UZ,UZ-NW,Navoi,large_airport,yes,40.117599,65.172658
Bukhara International Airport,BHK,UZ,UZ-BU,Bukhara,large_airport,yes,39.775002,64.483299
Karshi Airport,KSQ,UZ,UZ-QA,Karshi,small_airport,yes,38.802246,65.773068
Sugraly Airport,AFS,UZ,UZ-NW,Zarafshan,small_airport,yes,41.613899,64.2332
